Gene	SJHBBBM4X52	SJHBBBM4JQZ	SJHBBBM5SGJ	SJHBBBM5TXY	SJHBBBM2GV5	SJHBBBM39BT	SJHBBBM67H6	SJHBBBM2BBR	SJHBBBN9RBJ	SJHBBBM4PX3	SJHBBBN9RDM	SJHBBBN9R9H	SJHBBBM588V	SJHBBBN9RFN	SJHBBBM55F5	SJHBBBM5GW9	SJHBBBM5PY5	SJHBBBM52XR	SJHBBBM5YWS
SAV1	2815	2709	735	717	3234	2947	1705	3216	1033	1463	1791	1385	751	767	991	2619	1008	1120	928
SAXO1	5	4	6	4	3	1	0	1	1	0	0	3	0	1	0	2	0	0	1
SAXO2	31	26	33	31	89	28	26	56	17	18	32	17	5	13	9	773	8	105	217
SAYSD1	796	767	706	721	925	849	1023	2499	364	759	894	665	426	367	271	945	568	598	116
SBDS	3134	1490	2157	10959	1562	983	5785	2053	9371	1656	7922	7613	1581	5054	1590	1837	4636	6802	9664
SBDSP1	1446	688	1078	3165	1175	819	1569	1215	2724	748	3005	2156	407	1325	660	962	1104	2378	1612
SBF1	13404	16361	11534	14629	44917	15264	34105	47179	16714	12851	20522	20548	11983	10082	10463	31924	11877	27267	12637
SBF1P1	0	3	1	2	6	0	0	2	0	1	2	1	0	1	0	1	0	0	1
SBF2	1638	2136	1569	778	1855	1337	2301	3169	1280	1452	1697	1292	535	941	848	2078	828	712	901
SBF2-AS1	242	248	77	98	279	152	258	817	219	257	108	256	62	166	224	370	101	58	55
SBK1	1768	1347	378	1421	3021	1566	296	267	74	258	150	131	42	97	41	719	52	133	28
SBK2	2	0	184	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBK3	11	5	25	14	28	6	0	0	2	0	1	0	1	0	0	0	0	19	12
SBNO1	3000	3240	3322	2966	3743	2921	4097	4725	2692	1553	3982	3220	899	1494	1191	2163	2351	3603	3835
SBNO2	4267	4762	4023	3557	10874	4981	5947	7400	4254	2518	7537	3807	1567	2625	1712	4227	1966	3682	2291
SBSN	5	2	14	5	0	2	8	7	1	1	13	3	1	0	4	1	1	0	1
SBSPON	2	0	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	4	1
SC22CB-1D7.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SC22CB-1E7.1	59	79	3	135	39	18	7	88	9	25	7	66	30	13	4	11	37	135	116
SC5D	780	782	936	930	591	644	1232	1536	742	611	1239	791	320	325	387	593	555	419	593
SCAANT1	7	5	3	4	10	6	2	2	8	1	5	21	4	7	2	1	6	15	11
SCAF1	4026	4563	4041	3591	10778	5041	4181	7346	2027	2373	2599	3164	1201	2139	1701	3947	1734	3385	1367
SCAF11	13892	16146	15018	13601	15206	12078	12899	20321	6933	6408	11373	8270	2715	3860	4442	7644	6985	8744	7217
SCAF4	5182	4868	9172	9207	8913	4538	20925	17416	13349	6321	12745	11729	4069	5486	2893	5398	11032	8298	4087
SCAF8	3482	4953	2665	7080	6213	4119	10061	7633	6232	2835	11071	8632	2054	3162	1397	3603	5635	4402	5308
SCAI	4646	3818	4281	3344	3019	2651	2812	3691	1070	971	1929	1073	461	421	997	1102	866	996	910
SCAMP1	955	1204	1233	854	815	1006	860	2233	887	1408	834	718	438	360	801	685	554	606	421
SCAMP1-AS1	492	607	673	364	1213	634	180	636	207	390	187	170	111	223	250	414	96	526	122
SCAMP2	6267	6512	8393	3360	12344	6214	4152	10498	2233	3266	3599	4740	1856	2597	2540	6244	3031	3352	1144
SCAMP3	2448	2682	3460	1945	6545	3038	1807	5489	1823	1598	1318	1904	832	1627	1481	2569	1161	2720	626
SCAMP4	1454	1767	1512	826	3247	1433	2708	6182	849	1087	1138	1615	826	942	1119	1990	817	1819	619
SCAMP5	79	216	64	214	82	187	34	43	41	50	9	4	22	26	18	28	11	129	22
SCAND1	1755	1246	1607	2418	4263	2017	2661	3122	1590	1099	2225	2337	721	1800	940	2126	1293	2814	721
SCAND2P	2396	1491	1329	647	2505	1709	800	1897	325	519	491	343	249	653	428	1635	256	1592	238
SCAND3P1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAP	6289	3874	6729	4524	15098	6346	7281	14351	3627	3626	3985	4779	2308	3807	2818	6430	2807	5897	1672
SCAPER	1019	1199	1032	925	1343	1464	1210	2322	943	610	1284	1144	438	605	506	1197	591	916	842
SCARA3	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	1
SCARA5	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	12	0
SCARB1	16410	13498	12134	10409	45787	12864	8907	10575	3406	2380	2777	2837	1341	2348	2250	5540	1761	6354	1768
SCARB2	5327	8516	5736	7430	9210	5186	6459	8382	2701	3293	4865	3369	1250	1158	1939	4143	2206	1925	1624
SCARF1	6205	4601	9365	3380	8903	3519	10352	19724	5825	3305	9332	8274	3632	5878	5439	4695	5890	2960	2723
SCARF2	94	90	113	325	104	99	503	183	234	43	247	298	71	88	67	114	161	96	43
SCARNA10	8	2	16	7	33	6	19	29	19	14	29	14	4	10	5	31	16	77	11
SCARNA15	35	60	69	43	90	124	41	146	14	43	54	27	7	7	27	41	20	30	10
SCARNA2	16	27	43	13	60	23	30	89	35	29	27	15	9	15	12	19	13	148	20
SCARNA9	251	391	610	369	701	486	814	2379	1968	1722	858	422	641	383	421	436	385	1896	825
SCART1	687	1231	455	2067	1061	1031	949	1141	137	90	341	302	176	316	293	385	233	595	175
SCCPDH	2273	3018	2771	1767	4930	3118	2731	5315	2484	2623	1519	2323	998	2201	1590	2108	1444	2279	944
SCD	138	258	83	121	164	84	106	2890	241	842	98	547	28	255	85	281	130	74	146
SCD5	445	916	180	265	700	1233	110	1715	852	1381	401	756	412	331	724	1507	367	86	70
SCDP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCEL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SCEL-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCFD1	2414	2383	2637	1929	2783	2427	2789	4773	1460	2232	2551	1602	640	1191	1134	2054	893	1691	1043
SCFD2	543	358	839	479	1016	558	898	2509	657	659	598	944	326	528	479	770	470	954	344
SCG2	2	0	1	3	41	5	0	2	1	0	0	0	1	0	0	4	0	1	1
SCG3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCG5	23	32	23	32	55	53	12	33	6	11	8	16	8	10	21	14	13	53	5
SCGB1A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCGB1B2P	19	7	15	13	15	14	24	39	8	7	17	7	7	7	5	10	7	58	4
